community_id,summary
26,一个关于三元材料体系相图、成分及等温截面的社区。
18,一个专注于技术组件和知识点结构化探讨的专业社区。
66,"社区主题摘要:
一个关于工程图形学、CAD制图与科学计算可视化的技术社区。"
76,一个专注于材料科学与冶金领域的知识图谱社区。
77,一个专注于材料科学、冶金与热力学领域的专业知识交流社区。
78,聚焦材料科学领域的知识图谱构建与应用。
21,一个关于工程图学与热科学的社区，专注于三维几何形态与温度场的可视化分析。
31,"社区主题摘要:
一个专注于冶金学及相图知识的学术学习与交流社区。"
43,一个专注于材料热力学、相平衡与相图知识的专业社区。
53,一个围绕物理学中能量形式（如动能、势能）构建知识图谱的社区。
44,一个聚焦热力学，探讨能量形式、转换与系统知识的社区。
37,本社区聚焦热力学，探讨能量、质量与系统等核心物理概念。
16,聚焦热力学第一定律与能量守恒的物理学知识社区。
19,聚焦热力学第一定律，探讨能量守恒与转换原理的知识社区。
45,"社区主题摘要:
一个探讨热力学基本定律，聚焦内能、热与功之间能量转换关系的社区。"
54,"好的，基于提供的实体，这是一个简洁、精准的社区主题摘要：

**聚焦于材料科学、工业过程及相关工程原理的知识社区。**"
22,该社区聚焦于金属电解冶金技术，探讨金属的电解提取与精炼工艺。
23,一个聚焦热力学与物理化学的社区，探讨能量守恒、焓、功等核心概念与定律。
12,"社区主题摘要:
一个聚焦热力学与能量转换核心概念的知识社区。"
79,"基于实体“Heat Capacity”（热容）可以推断，该社区专注于科学、技术、工程等理工科领域的专业知识。

**社区主题摘要:**

一个专注于构建和分享科学、工程领域专业知识图谱的社区。"
4,"社区主题摘要:
本社区聚焦冶金热力学，探讨材料在热、压等条件下的能量与性质变化。"
24,聚焦热力学，探讨其基本定律、核心概念与发展历史的知识社区。
80,"好的，基于这是一个“知识图谱社区”，并结合常见实体，以下是一个简洁、精准的主题摘要：

**社区主题摘要:**

**一个聚焦知识图谱构建、图数据库技术与行业应用的专业交流社区。**"
67,"好的，基于实体“Cp”（通常指热容或与Calphad计算相关）和“Metallurgical Systems”（冶金体系），可以推断该社区的核心主题。

**社区主题摘要:**

一个专注于计算材料科学与冶金热力学知识图谱的专业社区。"
28,"社区主题摘要:
聚焦热力学第二定律及熵、热、平衡等核心概念的物理知识社区。"
36,本社区聚焦热力学第二定律，探讨熵、能量转换及自然过程的本质。
27,"社区主题摘要:
一个聚焦热力学定律、核心概念与代表科学家的知识社区。"
68,一个聚焦物理、化学等基础科学概念的知识图谱社区。
5,本社区聚焦于热力学，探讨熵、焓、能量等核心物理概念与性质。
81,这是一个专注于材料科学与化学交叉领域的知识社群。
82,一个专注于化学物质、结构、性质与反应的知识图谱社区。
55,一个聚焦热力学与物理化学核心概念的知识社群。
25,一个聚焦热力学与物理化学核心概念的知识社区。
56,"社区主题摘要:
**一个聚焦化学热力学，探讨反应方向、平衡与能量转换的知识社区。**"
57,该社区专注于热力学及物理化学领域的知识探讨与分享。
32,"社区主题摘要:

一个专注于材料热力学、相图及相变知识的学术社区。"
83,一个专注科学计算与材料科学领域的知识图谱社区。
69,"**摘要：**

一个聚焦于材料科学领域，探讨相图、相变与计算模拟的专业知识社区。"
58,一个关于化学热力学与平衡原理的知识社区。
39,一个聚焦物理化学与材料科学领域的学术研究社区。
46,"社区主题摘要:
本社区聚焦于物质相变、相图等物理化学知识。"
84,一个聚焦物理化学、材料科学等领域的知识图谱社区。
70,一个聚焦物理化学与材料科学知识构建的专业社区。
71,一个专注于物质科学与化学领域的知识图谱社区。
47,本社区聚焦热力学核心定律、方程及重要科学家。
48,聚焦于热力学经典理论，如克劳修斯-克拉佩龙方程与相变研究。
59,一个聚焦相图、相变与热力学知识的专业社区。
72,一个专注于材料科学相图、相变与热力学知识的学术社区。
15,一个专注于材料相图与计算热力学知识的社区。
38,一个专注于材料科学、相图与相平衡的知识社区。
11,一个关于材料热力学、相图计算与相平衡分析的社区。
60,一个专注于材料科学、冶金与相图知识的社区。
61,"社区主题摘要:
这是一个关于材料科学与物理化学知识的社区。"
13,"社区主题摘要:
该社区聚焦于物理化学与材料科学，探讨多组分体系的热力学性质与相平衡。"
85,这是一个专注于材料科学、相图与热力学知识的专业社区。
34,一个专注于材料科学领域相图及热力学知识的社区。
33,一个专注于材料热力学、相图分析与相平衡研究的学术社区。
8,"社区主题摘要:
一个专注于材料相图、相变与热力学原理的知识社区。"
2,该社区聚焦于材料科学中的相图分析，重点探讨两相区与连接线的应用。
14,"社区主题摘要:
该社区专注于多组分体系的相图、相平衡及相关知识。"
62,一个探讨材料相图、相变与热力学原理的知识社区。
35,该社区聚焦于材料热力学，通过吉布斯能等理论分析相图与物质相变。
49,一个以ASM国际为核心的金属材料科学专业社区，专注粉末冶金等领域。
63,"社区主题摘要:
一个聚焦金属粉末及粉末冶金领域的专业知识社区。"
73,"好的，基于提供的实体信息，以下是几个简洁精准的社区主题摘要供您选择：

**摘要一 (侧重关系):**
专注于知识图谱领域的人物、机构及其相互关系。

**摘要二 (侧重产业与学术):**
汇集知识图谱领域的专家、企业及行业动态。

**摘要三 (最精简):**
一个关于知识图谱领域人物与机构的知识网络。"
30,"社区主题摘要:
一个聚焦粉末冶金材料、工艺及应用的专业社区。"
